index,x,y,z,distance_to_origin,u1,v1,u2,v2,distance_between_params
1,0.600000,0.000000,-0.000000,0.600000,0.000000,-0.400000,6.283185,0.400000,1.549069e-16
2,0.604020,0.000000,-0.000000,0.604020,0.000000,-0.395980,6.283185,0.395980,1.556873e-16
3,0.608040,0.000000,-0.000000,0.608040,0.000000,-0.391960,6.283185,0.391960,1.564715e-16
4,0.612060,0.000000,-0.000000,0.612060,0.000000,-0.387940,6.283185,0.387940,1.572595e-16
5,0.616080,0.000000,-0.000000,0.616080,0.000000,-0.383920,6.283185,0.383920,1.580513e-16
6,0.620101,0.000000,-0.000000,0.620101,0.000000,-0.379899,6.283185,0.379899,1.588468e-16
7,0.624121,0.000000,-0.000000,0.624121,0.000000,-0.375879,6.283185,0.375879,1.944550e-16
8,0.628141,0.000000,-0.000000,0.628141,0.000000,-0.371859,6.283185,0.371859,1.604485e-16
9,0.632161,0.000000,-0.000000,0.632161,0.000000,-0.367839,6.283185,0.367839,1.957780e-16
10,0.636181,0.000000,-0.000000,0.636181,0.000000,-0.363819,6.283185,0.363819,1.620643e-16
11,0.640201,0.000000,-0.000000,0.640201,0.000000,-0.359799,6.283185,0.359799,1.971166e-16
12,0.644221,0.000000,-0.000000,0.644221,0.000000,-0.355779,6.283185,0.355779,1.636937e-16
13,0.648241,0.000000,-0.000000,0.648241,0.000000,-0.351759,6.283185,0.351759,1.984707e-16
14,0.652261,0.000000,-0.000000,0.652261,0.000000,-0.347739,6.283185,0.347739,1.653365e-16
15,0.656281,0.000000,-0.000000,0.656281,0.000000,-0.343719,6.283185,0.343719,1.998399e-16
16,0.660302,0.000000,-0.000000,0.660302,0.000000,-0.339698,6.283185,0.339698,1.669920e-16
17,0.664322,0.000000,-0.000000,0.664322,0.000000,-0.335678,6.283185,0.335678,2.012238e-16
18,0.668342,0.000000,-0.000000,0.668342,0.000000,-0.331658,6.283185,0.331658,2.019213e-16
19,0.672362,0.000000,-0.000000,0.672362,0.000000,-0.327638,6.283185,0.327638,1.694987e-16
20,0.676382,0.000000,-0.000000,0.676382,0.000000,-0.323618,6.283185,0.323618,1.703403e-16
21,0.680402,0.000000,-0.000000,0.680402,0.000000,-0.319598,6.283185,0.319598,1.711849e-16
22,0.684422,0.000000,-0.000000,0.684422,0.000000,-0.315578,6.283185,0.315578,1.720323e-16
23,0.688442,0.000000,-0.000000,0.688442,0.000000,-0.311558,6.283185,0.311558,1.728826e-16
24,0.692462,0.000000,-0.000000,0.692462,0.000000,-0.307538,6.283185,0.307538,1.737357e-16
25,0.696482,0.000000,-0.000000,0.696482,0.000000,-0.303518,6.283185,0.303518,1.745916e-16
26,0.700503,0.000000,-0.000000,0.700503,0.000000,-0.299497,6.283185,0.299497,1.754502e-16
27,0.704523,0.000000,-0.000000,0.704523,0.000000,-0.295477,6.283185,0.295477,1.763115e-16
28,0.708543,0.000000,-0.000000,0.708543,0.000000,-0.291457,6.283185,0.291457,1.771755e-16
29,0.712563,0.000000,-0.000000,0.712563,0.000000,-0.287437,6.283185,0.287437,1.780420e-16
30,0.716583,0.000000,-0.000000,0.716583,0.000000,-0.283417,6.283185,0.283417,2.105592e-16
31,0.720603,0.000000,-0.000000,0.720603,0.000000,-0.279397,6.283185,0.279397,1.797829e-16
32,0.724623,0.000000,-0.000000,0.724623,0.000000,-0.275377,6.283185,0.275377,2.120446e-16
33,0.728643,0.000000,-0.000000,0.728643,0.000000,-0.271357,6.283185,0.271357,1.815337e-16
34,0.732663,0.000000,-0.000000,0.732663,0.000000,-0.267337,6.283185,0.267337,2.135425e-16
35,0.736683,0.000000,-0.000000,0.736683,0.000000,-0.263317,6.283185,0.263317,1.832943e-16
36,0.740704,0.000000,-0.000000,0.740704,0.000000,-0.259296,6.283185,0.259296,2.150524e-16
37,0.744724,0.000000,-0.000000,0.744724,0.000000,-0.255276,6.283185,0.255276,2.158118e-16
38,0.748744,0.000000,-0.000000,0.748744,0.000000,-0.251256,6.283185,0.251256,2.165742e-16
39,0.752764,0.000000,-0.000000,0.752764,0.000000,-0.247236,6.283185,0.247236,2.173395e-16
40,0.756784,0.000000,-0.000000,0.756784,0.000000,-0.243216,6.283185,0.243216,2.181076e-16
41,0.760804,0.000000,-0.000000,0.760804,0.000000,-0.239196,6.283185,0.239196,1.886316e-16
42,0.764824,0.000000,-0.000000,0.764824,0.000000,-0.235176,6.283185,0.235176,1.895289e-16
43,0.768844,0.000000,-0.000000,0.768844,0.000000,-0.231156,6.283185,0.231156,1.904284e-16
